date,temperature,day_of_year,hour_of_day,temperature_f
2023-06-01 00:00:00,31.4901424590337,152,0,88.68225642626065
2023-06-01 01:00:00,29.58520709648645,152,1,85.25337277367561
2023-06-01 02:00:00,31.94306561430208,152,2,89.49751810574375
2023-06-01 03:00:00,34.56908956922408,152,3,94.22436122460336
2023-06-01 04:00:00,29.29753987582999,152,4,84.73557177649398
2023-06-01 05:00:00,29.29758912915246,152,5,84.73566043247442
2023-06-01 06:00:00,34.737638446522176,152,6,94.52774920373992
2023-06-01 07:00:00,32.302304187458724,152,7,90.14414753742571
2023-06-01 08:00:00,28.591576842195146,152,8,83.46483831595125
2023-06-01 09:00:00,31.62768013075789,152,9,88.92982423536421
2023-06-01 10:00:00,28.60974692156261,152,10,83.4975444588127
2023-06-01 11:00:00,28.60281073928923,152,11,83.48505933072062
2023-06-01 12:00:00,30.725886814698104,152,12,87.30659626645658
2023-06-01 13:00:00,24.260159266026605,152,13,75.66828667884789
2023-06-01 14:00:00,24.8252465024609,152,14,76.68544370442962
2023-06-01 15:00:00,28.313137412277083,152,15,82.96364734209875
2023-06-01 16:00:00,26.961506638996728,152,16,80.5307119501941
2023-06-01 17:00:00,30.94274199778582,152,17,87.69693559601447
2023-06-01 18:00:00,27.27592777343637,152,18,81.09666999218547
2023-06-01 19:00:00,25.763088895994127,152,19,78.37356001278943
2023-06-01 20:00:00,34.39694630676466,152,20,93.9145033521764
2023-06-01 21:00:00,29.322671098540397,152,21,84.78080797737272
2023-06-01 22:00:00,30.20258461406377,152,22,86.36465230531479
2023-06-01 23:00:00,25.72575544135963,152,23,78.30635979444733
2023-06-02 00:00:00,28.36685182642445,153,0,83.06033328756402
2023-06-02 01:00:00,30.3327677691296,153,1,86.59898198443328
2023-06-02 02:00:00,26.54701926773309,153,2,79.78463468191957
2023-06-02 03:00:00,31.127094055037016,153,3,88.02876929906662
2023-06-02 04:00:00,28.198083930243584,153,4,82.75655107443845
2023-06-02 05:00:00,29.124918750620168,153,5,84.4248537511163
2023-06-02 06:00:00,28.194880163311808,153,6,82.75078429396126
2023-06-02 07:00:00,35.55683455352681,153,7,96.00230219634827
2023-06-02 08:00:00,29.9595083257862,153,8,85.92711498641515
2023-06-02 09:00:00,26.8268672131323,153,9,80.28836098363814
2023-06-02 10:00:00,32.46763473630957,153,10,90.44174252535723
2023-06-02 11:00:00,26.33746905008693,153,11,79.40744429015648
2023-06-02 12:00:00,30.626590785014265,153,12,87.12786341302568
2023-06-02 13:00:00,24.120989628360675,153,13,75.41778133104921
2023-06-02 14:00:00,26.015441853304708,153,14,78.82779533594848
2023-06-02 15:00:00,30.59058370760737,153,15,87.06305067369325
2023-06-02 16:00:00,32.21539973998623,153,16,89.98771953197522
2023-06-02 17:00:00,30.51410484356991,153,17,86.92538871842584
2023-06-02 18:00:00,29.65305515283528,153,18,85.37549927510351
2023-06-02 19:00:00,29.09668891323213,153,19,84.37404004381783
2023-06-02 20:00:00,25.56443402889772,153,20,78.01598125201589
2023-06-02 21:00:00,27.840467374815876,153,21,82.11284127466858
2023-06-02 22:00:00,28.61808368712064,153,22,83.51255063681715
